"index","full_name","brand_name","resale_price","registered_year","engine_capacity(cc)","insurance","transmission_type","kms_driven","Hand","fuel_type","max_power(bhp)","seats","mileage(kmpl)","body_type","city"
4475,"Hyundai Verna 1.6 CRDi AT SX","Hyundai",452000,2015,1582,"1","Automatic",100000,"4th","Diesel",126.2,5.0,19.08,"Sedan","Ahmedabad"
4476,"Kia Seltos HTX IVT G","Kia",1450000,2020,1497,"1","Automatic",30000,"2nd","Petrol",113.42,5.0,16.8,"SUV","Ahmedabad"
4477,"Maruti Swift Ldi BSII","Maruti",175000,2008,1248,"1","Manual",120000,"3rd","Diesel",75.0,5.0,17.8,"Hatchback","Ahmedabad"
4478,"Nissan Magnite XV Premium BSVI","Nissan",733000,2021,999,"0","Manual",48964,"2nd","Petrol",71.02,5.0,18.75,"SUV","Ahmedabad"
4479,"Maruti XL6 Alpha AT","Maruti",1115000,2021,1462,"0","Automatic",25692,"2nd","Petrol",101.65,6.0,20.27,"MUV","Ahmedabad"
4480,"Hyundai i20 Sportz Plus BSIV","Hyundai",612000,2019,1197,"0","Manual",67449,"3rd","Petrol",81.86,5.0,18.6,"Hatchback","Ahmedabad"
4481,"Nissan Magnite Turbo CVT XL BSVI","Nissan",771000,2021,999,"1","Automatic",25725,"2nd","Petrol",98.63,5.0,17.7,"SUV","Ahmedabad"
4482,"Hyundai i20 1.2 Asta","Hyundai",665000,2019,1197,"1","Manual",30264,"2nd","Petrol",81.83,5.0,18.6,"Hatchback","Ahmedabad"
4483,"Hyundai i20 1.2 Asta","Hyundai",643000,2018,1197,"1","Manual",56417,"2nd","Petrol",81.83,5.0,18.6,"Hatchback","Ahmedabad"
4484,"Tata Nexon XMA S AMT Diesel","Tata",1022000,2021,1497,"1","Automatic",26606,"2nd","Diesel",113.42,5.0,24.07,"SUV","Ahmedabad"
4485,"Maruti Ciaz Alpha BSVI","Maruti",1012000,2022,1462,"0","Manual",15473,"2nd","Petrol",103.25,5.0,20.65,"Sedan","Ahmedabad"
4486,"Maruti XL6 Alpha","Maruti",932000,2020,1462,"1","Manual",29430,"2nd","Petrol",103.2,6.0,19.01,"MUV","Ahmedabad"
4487,"Tata Nexon XZ Plus (O) BSVI","Tata",874000,2020,1199,"1","Manual",57919,"2nd","Petrol",118.36,5.0,17.57,"SUV","Ahmedabad"
4488,"Honda City i DTEC VX","Honda",450000,2014,1498,"1","Manual",120000,"3rd","Diesel",98.6,5.0,25.1,"Sedan","Ahmedabad"
4489,"Hyundai Verna 1.4 VTVT","Hyundai",600000,2013,1396,"1","Manual",120000,"2nd","Petrol",105.5,5.0,17.43,"Sedan","Ahmedabad"
4490,"Tata Altroz XE BSVI","Tata",550000,2020,1199,"1","Manual",30000,"2nd","Petrol",86.83,5.0,19.33,"Hatchback","Ahmedabad"
4491,"Mahindra Marazzo M6 8Str","Mahindra",850000,2018,1497,"1","Manual",80000,"3rd","Diesel",121.0,8.0,17.3,"MUV","Ahmedabad"
4492,"Skoda Superb 2.5 V6 TDI","Skoda",300000,2010,2496,"1","Automatic",120000,"3rd","Diesel",163.2,5.0,11.9,"Sedan","Ahmedabad"
4493,"Hyundai Xcent 1.2 Kappa S","Hyundai",330000,2014,1197,"1","Manual",60000,"2nd","Petrol",82.0,5.0,19.1,"Sedan","Ahmedabad"
4494,"Mahindra XUV500 W8 AWD","Mahindra",612000,2013,2179,"1","Manual",80000,"3rd","Diesel",140.0,7.0,15.1,"SUV","Ahmedabad"
4495,"Ford Ecosport 1.5 Diesel Titanium Plus","Ford",900000,2020,1498,"1","Manual",70000,"2nd","Diesel",98.96,5.0,21.7,"SUV","Ahmedabad"
4496,"Hyundai i20 Magna Plus BSIV","Hyundai",613000,2019,1197,"1","Manual",41942,"2nd","Petrol",81.86,5.0,18.6,"Hatchback","Ahmedabad"
4497,"Hyundai i20 Asta 1.4 CRDi","Hyundai",565000,2017,1396,"1","Manual",116263,"4th","Diesel",88.73,5.0,22.54,"Hatchback","Ahmedabad"
4498,"Maruti Swift Dzire VDI","Maruti",393000,2013,1248,"1","Manual",96738,"3rd","Diesel",74.0,5.0,23.4,"Sedan","Ahmedabad"
4499,"Hyundai Grand i10 1.2 Kappa Sportz BSIV","Hyundai",494000,2017,1197,"1","Manual",31463,"3rd","Petrol",81.86,5.0,18.9,"Hatchback","Ahmedabad"
4500,"Maruti Vitara Brezza ZDi Plus Dual Tone","Maruti",699000,2017,1248,"0","Manual",97788,"3rd","Diesel",88.5,5.0,24.3,"SUV","Ahmedabad"
4501,"Audi Q3 35 TDI Quattro Technology","Audi",2290000,2017,1968,"1","Automatic",76081,"2nd","Diesel",181.0,5.0,15.17,"SUV","Ahmedabad"
4502,"Hyundai i20 Sportz Plus BSIV","Hyundai",648000,2019,1197,"1","Manual",26880,"3rd","Petrol",81.86,5.0,18.6,"Hatchback","Ahmedabad"
4503,"Maruti Baleno 1.2 Alpha","Maruti",618000,2020,1197,"0","Manual",38368,"3rd","Petrol",83.1,5.0,21.4,"Hatchback","Ahmedabad"
4504,"Maruti Vitara Brezza VDi","Maruti",775000,2019,1248,"1","Manual",70921,"3rd","Diesel",88.5,5.0,24.3,"SUV","Ahmedabad"
4505,"Hyundai i20 Sportz 1.2","Hyundai",534000,2016,1197,"0","Manual",101399,"2nd","Petrol",81.83,5.0,18.6,"Hatchback","Ahmedabad"
4506,"Hyundai i20 1.2 Asta Option","Hyundai",620000,2017,1197,"0","Manual",41497,"2nd","Petrol",81.83,5.0,18.6,"Hatchback","Ahmedabad"
4507,"Maruti Swift VXI","Maruti",574000,2019,1197,"0","Manual",43012,"2nd","Petrol",88.5,5.0,22.38,"Hatchback","Ahmedabad"
4508,"Honda Amaze S i-VTEC","Honda",365000,2016,1198,"1","Manual",40000,"2nd","Petrol",86.7,5.0,17.8,"Sedan","Ahmedabad"
4509,"Hyundai Verna Transform SX VGT CRDi","Hyundai",175000,2010,1493,"1","Manual",108193,"3rd","Diesel",110.0,5.0,16.2,"Sedan","Ahmedabad"
4510,"Ford Ecosport 1.0 Ecoboost Titanium Plus BSIV","Ford",470000,2016,999,"0","Manual",114033,"2nd","Petrol",123.24,5.0,18.88,"SUV","Ahmedabad"
4511,"Renault Duster 85PS Diesel RxL","Renault",380000,2013,1461,"0","Manual",118564,"2nd","Diesel",83.8,5.0,20.45,"SUV","Ahmedabad"
4512,"Maruti Wagon R LXI CNG","Maruti",209000,2012,998,"0","Manual",87381,"4th","CNG",58.2,5.0,26.2,"Hatchback","Ahmedabad"
4513,"Volkswagen Vento 1.0 TSI Highline Plus","Volkswagen",950000,2020,999,"0","Manual",33865,"2nd","Petrol",108.62,5.0,17.69,"Sedan","Ahmedabad"
4514,"Honda Amaze VX i-DTEC","Honda",268000,2013,1498,"0","Manual",127840,"3rd","Diesel",98.6,5.0,25.8,"Sedan","Ahmedabad"
4515,"Hyundai Grand i10 1.2 Kappa Sportz BSIV","Hyundai",451000,2017,1197,"1","Manual",114945,"2nd","Petrol",81.86,5.0,18.9,"Hatchback","Ahmedabad"
4516,"Honda City i VTEC CVT VX","Honda",731000,2017,1497,"1","Automatic",70660,"2nd","Petrol",117.3,5.0,18.0,"Sedan","Ahmedabad"
4517,"Hyundai Grand i10 Nios Sportz","Hyundai",570000,2019,1197,"1","Manual",85747,"2nd","Petrol",81.86,5.0,20.7,"Hatchback","Ahmedabad"
4518,"Maruti Wagon R VXI BS IV","Maruti",299000,2015,998,"0","Manual",94458,"3rd","Petrol",67.04,5.0,20.51,"Hatchback","Ahmedabad"
4519,"Maruti Swift Dzire VXI BSVI","Maruti",696000,2021,1197,"0","Manual",25034,"2nd","Petrol",88.5,5.0,22.41,"Sedan","Ahmedabad"
4520,"Hyundai i20 1.2 Spotz","Hyundai",599000,2018,1197,"1","Manual",49155,"2nd","Petrol",81.83,5.0,18.6,"Hatchback","Ahmedabad"
4521,"Maruti Baleno 1.2 Zeta","Maruti",576000,2018,1197,"1","Manual",21097,"3rd","Petrol",83.1,5.0,21.4,"Hatchback","Ahmedabad"
4522,"Maruti Swift VXI","Maruti",450000,2015,1197,"1","Manual",32840,"3rd","Petrol",88.5,5.0,22.38,"Hatchback","Ahmedabad"
4523,"Maruti Swift Dzire VXI","Maruti",402000,2014,1197,"1","Manual",61074,"2nd","Petrol",88.5,5.0,22.41,"Sedan","Ahmedabad"
4524,"Hyundai Grand i10 Sportz","Hyundai",419000,2016,1197,"1","Manual",73565,"2nd","Petrol",82.0,5.0,18.9,"Hatchback","Ahmedabad"
4525,"Hyundai i20 Sportz BSVI","Hyundai",736000,2021,1197,"1","Manual",19709,"2nd","Petrol",81.8,5.0,21.0,"Hatchback","Ahmedabad"
4526,"Tata Indica Aqua 1.3 Quadrajet","Tata",221000,2010,1248,"0","Manual",146412,"2nd","Diesel",75.0,5.0,18.0,"Hatchback","Ahmedabad"
4527,"Hyundai Grand i10 Sportz","Hyundai",350000,2014,1197,"1","Manual",105407,"2nd","Petrol",82.0,5.0,18.9,"Hatchback","Ahmedabad"
4528,"Maruti Ciaz 1.4 Delta","Maruti",600000,2018,1373,"1","Manual",27374,"2nd","Petrol",91.1,5.0,20.73,"Sedan","Ahmedabad"
4529,"Maruti Swift Dzire VDi","Maruti",220000,2010,1248,"0","Manual",75062,"2nd","Diesel",73.9,5.0,19.3,"Sedan","Ahmedabad"
4530,"Ford Ecosport 1.5 Diesel Titanium","Ford",726000,2020,1498,"0","Manual",45988,"3rd","Diesel",98.96,5.0,21.7,"SUV","Ahmedabad"
4531,"Maruti Ertiga VDI","Maruti",300000,2012,1248,"0","Manual",102382,"","Diesel",88.76,7.0,20.77,"MUV","Ahmedabad"
4532,"Maruti Alto LXi BSIII","Maruti",76479,2008,796,"1","Manual",101847,"4th","Petrol",46.3,5.0,19.7,"Hatchback","Ahmedabad"
4533,"Hyundai Creta SX BSVI","Hyundai",1230000,2021,1497,"0","Manual",23893,"2nd","Petrol",113.18,5.0,0.0,"SUV","Ahmedabad"
4534,"Nissan Magnite Turbo CVT XV Executive BSVI","Nissan",769000,2021,999,"1","Automatic",20338,"3rd","Petrol",98.63,5.0,0.0,"SUV","Ahmedabad"
4535,"Hyundai Grand i10 1.2 Kappa Sportz BSIV","Hyundai",480000,2017,1197,"1","Manual",45642,"2nd","Petrol",81.86,5.0,18.9,"Hatchback","Ahmedabad"
4536,"Hyundai i20 Magna Optional 1.2","Hyundai",400000,2014,1197,"1","Manual",53014,"2nd","Petrol",82.9,5.0,18.5,"Hatchback","Ahmedabad"
4537,"Renault Kiger RXL","Renault",643000,2021,999,"1","Manual",20537,"3rd","Petrol",71.01,5.0,19.17,"SUV","Ahmedabad"
4538,"Hyundai i10 Sportz","Hyundai",263000,2012,1197,"1","Manual",95145,"2nd","Petrol",78.9,5.0,20.36,"Hatchback","Ahmedabad"
4539,"Honda Brio 1.2 S Option MT","Honda",459000,2019,1198,"1","Manual",14382,"3rd","Petrol",86.8,5.0,18.5,"Hatchback","Ahmedabad"
4540,"Toyota Corolla Altis VL AT","Toyota",908000,2017,1798,"1","Automatic",97908,"2nd","Petrol",138.03,5.0,14.28,"Sedan","Ahmedabad"
4541,"Maruti Swift Dzire VXI 1.2","Maruti",566000,2019,1197,"1","Manual",40400,"2nd","Petrol",81.8,5.0,21.21,"Sedan","Ahmedabad"
4542,"Hyundai Santro Sportz AMT","Hyundai",509000,2020,1086,"1","Automatic",29686,"2nd","Petrol",68.05,5.0,20.3,"Hatchback","Ahmedabad"
4543,"Hyundai Grand i10 Nios Sportz","Hyundai",578000,2020,1197,"1","Manual",18111,"2nd","Petrol",81.86,5.0,20.7,"Hatchback","Ahmedabad"
4544,"Maruti Swift VXI","Maruti",476000,2018,1197,"1","Manual",67841,"2nd","Petrol",88.5,5.0,22.38,"Hatchback","Ahmedabad"
4545,"Hyundai Venue E","Hyundai",585000,2021,1197,"0","Manual",13125,"2nd","Petrol",81.86,5.0,17.52,"SUV","Ahmedabad"
4546,"Renault Scala Diesel RxZ","Renault",230000,2012,1461,"0","Manual",101488,"2nd","Diesel",84.8,5.0,21.64,"Sedan","Ahmedabad"
4547,"Ford Figo Diesel ZXI","Ford",180000,2015,1399,"1","Manual",84325,"3rd","Diesel",68.05,5.0,20.0,"Hatchback","Ahmedabad"
4548,"Maruti Alto K10 VXI AMT","Maruti",325000,2017,998,"1","Automatic",123730,"2nd","Petrol",67.05,5.0,23.95,"Hatchback","Ahmedabad"
4549,"Toyota Corolla Altis GL MT","Toyota",969000,2015,1798,"1","Manual",110194,"3rd","Petrol",138.03,5.0,14.28,"Sedan","Ahmedabad"
4550,"Nissan Teana XL","Nissan",602000,2012,2496,"1","Automatic",64719,"2nd","Petrol",179.5,5.0,11.07,"Sedan","Ahmedabad"
4551,"Ford Ecosport 1.5 Diesel Titanium BSIV","Ford",600000,2017,1498,"0","Manual",79826,"2nd","Diesel",98.96,5.0,23.0,"SUV","Ahmedabad"
4552,"Maruti Alto 800 LXI","Maruti",200000,2015,796,"0","Manual",50035,"2nd","Petrol",47.3,5.0,22.74,"Hatchback","Ahmedabad"
4553,"Toyota Innova Crysta 2.4 VX 7 STR","Toyota",2164000,2021,2393,"1","Manual",17563,"3rd","Diesel",148.0,7.0,12.0,"MUV","Ahmedabad"
4554,"Maruti Ignis 1.2 Delta BSIV","Maruti",428000,2018,1197,"1","Manual",43445,"3rd","Petrol",81.8,5.0,20.89,"Hatchback","Ahmedabad"
4555,"Maruti Baleno Zeta CVT","Maruti",734000,2021,1197,"1","Automatic",25322,"2nd","Petrol",81.8,5.0,19.56,"Hatchback","Ahmedabad"
4556,"Volkswagen Polo 1.0 MPI Trendline","Volkswagen",531000,2019,999,"1","Manual",31372,"3rd","Petrol",75.1,5.0,17.74,"Hatchback","Ahmedabad"
4557,"Maruti Ciaz Delta BSIV","Maruti",620000,2018,1462,"0","Manual",83314,"2nd","Petrol",103.25,5.0,21.56,"Sedan","Ahmedabad"
4558,"Honda City ZX MT","Honda",1128000,2021,1498,"1","Manual",37544,"2nd","Petrol",119.35,5.0,18.6,"Sedan","Ahmedabad"
4559,"Volkswagen Polo 1.2 MPI Comfortline","Volkswagen",532000,2017,1199,"0","Manual",83286,"2nd","Petrol",74.0,5.0,16.2,"Hatchback","Ahmedabad"
4560,"Maruti Ciaz 1.3 Alpha","Maruti",695000,2018,1248,"1","Manual",43621,"3rd","Diesel",88.5,5.0,28.09,"Sedan","Ahmedabad"
4561,"Maruti Baleno 1.2 Delta","Maruti",484000,2016,1197,"1","Manual",40188,"2nd","Petrol",83.1,5.0,21.4,"Hatchback","Ahmedabad"
4562,"Hyundai Creta 1.6 VTVT AT SX Plus","Hyundai",806000,2016,1591,"1","Automatic",70257,"2nd","Petrol",121.3,5.0,13.0,"SUV","Ahmedabad"
4563,"Maruti Baleno Zeta CVT","Maruti",680000,2021,1197,"0","Automatic",42994,"2nd","Petrol",81.8,5.0,19.56,"Hatchback","Ahmedabad"
4564,"Honda City 1.5 S MT","Honda",215000,2009,1497,"1","Manual",118371,"","Petrol",118.0,5.0,17.0,"Sedan","Ahmedabad"
4565,"Maruti Eeco 5 Seater AC CNG BSVI","Maruti",590000,2022,1197,"0","Manual",33488,"2nd","CNG",70.67,5.0,26.78,"","Ahmedabad"
4566,"Hyundai Santro Xing GLS","Hyundai",180000,2011,1086,"0","Manual",86750,"3rd","Petrol",62.1,5.0,17.92,"Hatchback","Ahmedabad"
4567,"Honda City V MT","Honda",900000,2019,1497,"0","Manual",40257,"2nd","Petrol",117.6,5.0,17.4,"Sedan","Ahmedabad"
4568,"Hyundai i10 Era 1.1","Hyundai",152000,2010,1086,"1","Manual",153807,"3rd","Petrol",68.05,5.0,19.81,"Hatchback","Ahmedabad"
4569,"Hyundai EON Era","Hyundai",125000,2013,814,"1","Manual",136930,"3rd","Petrol",55.2,5.0,21.1,"Hatchback","Ahmedabad"
4570,"BMW X1 sDrive 20d xLine","BMW",3000000,2020,1995,"0","Automatic",48579,"2nd","Diesel",188.0,5.0,20.68,"SUV","Ahmedabad"
4571,"Maruti Wagon R AMT VXI","Maruti",436000,2018,998,"0","Automatic",39068,"2nd","Petrol",67.0,5.0,20.51,"Hatchback","Ahmedabad"
4572,"Maruti Ciaz Alpha Automatic BSIV","Maruti",784000,2019,1462,"1","Automatic",57033,"2nd","Petrol",103.25,5.0,20.28,"Sedan","Ahmedabad"
4573,"Hyundai Venue SX Turbo","Hyundai",917000,2021,998,"1","Manual",46027,"2nd","Petrol",118.35,5.0,18.27,"SUV","Ahmedabad"
4574,"Hyundai Creta 1.6 VTVT AT SX Plus","Hyundai",913000,2017,1591,"0","Automatic",79634,"2nd","Petrol",121.3,5.0,13.0,"SUV","Ahmedabad"
4575,"Hyundai Alcazar Signature Diesel AT","Hyundai",2027000,2021,1493,"1","Automatic",31008,"2nd","Diesel",113.42,6.0,18.1,"SUV","Ahmedabad"
4576,"Hyundai Creta 1.4 CRDi S","Hyundai",800000,2017,1396,"1","Manual",145032,"2nd","Diesel",88.7,5.0,21.38,"SUV","Ahmedabad"
4577,"MG Hector Sharp Diesel MT BSIV","MG",1500000,2019,1956,"0","Manual",52021,"2nd","Diesel",167.68,5.0,17.41,"SUV","Ahmedabad"
4578,"Maruti Vitara Brezza LXI","Maruti",800000,2021,1462,"0","Manual",13614,"2nd","Petrol",103.26,5.0,17.03,"SUV","Ahmedabad"
4579,"Hyundai i20 Magna","Hyundai",200000,2009,1197,"1","Manual",19747,"3rd","Petrol",80.0,5.0,18.5,"Hatchback","Ahmedabad"
4580,"Maruti Baleno 1.2 Delta","Maruti",550000,2018,1197,"1","Manual",25211,"2nd","Petrol",83.1,5.0,21.4,"Hatchback","Ahmedabad"
4581,"BMW 5 Series 520d Modern Line","BMW",2000000,2014,1995,"1","Automatic",56774,"2nd","Diesel",184.0,5.0,18.84,"Sedan","Ahmedabad"
4582,"Maruti Swift VDI BSIV","Maruti",190000,2010,1248,"1","Manual",167059,"3rd","Diesel",74.0,5.0,22.9,"Hatchback","Ahmedabad"
4583,"Kia Seltos HTX Plus AT D","Kia",1400000,2019,1493,"0","Automatic",79022,"2nd","Diesel",113.4,5.0,17.8,"SUV","Ahmedabad"
4584,"Ford Figo Diesel ZXI","Ford",150000,2010,1399,"0","Manual",75183,"2nd","Diesel",68.0,5.0,20.0,"Hatchback","Ahmedabad"
4585,"Maruti Alto 800 LXI","Maruti",130000,2013,796,"0","Manual",119306,"2nd","Petrol",47.3,5.0,22.74,"Hatchback","Ahmedabad"
4586,"Mahindra Bolero mHAWK D70 SLE","Mahindra",533000,2017,1493,"1","Manual",162529,"2nd","Diesel",70.0,7.0,16.5,"SUV","Ahmedabad"
4587,"Hyundai Creta SX Executive Diesel BSVI","Hyundai",1400000,2021,1493,"0","Manual",17457,"2nd","Diesel",113.45,5.0,0.0,"SUV","Ahmedabad"
4588,"Hyundai i10 Era","Hyundai",200000,2011,1086,"1","Manual",82649,"3rd","Petrol",68.05,5.0,19.81,"Hatchback","Ahmedabad"
4589,"Hyundai Grand i10 1.2 Kappa Sportz BSIV","Hyundai",550000,2019,1197,"0","Manual",25504,"2nd","Petrol",81.86,5.0,18.9,"Hatchback","Ahmedabad"
4590,"Tata Tiago XZA Plus AMT BSVI","Tata",575000,2020,1199,"0","Automatic",36000,"3rd","Petrol",84.82,5.0,19.0,"Hatchback","Ahmedabad"
4591,"Mahindra TUV 300 T6","Mahindra",640000,2015,1493,"1","Manual",75000,"2nd","Diesel",100.0,7.0,18.49,"SUV","Ahmedabad"
4592,"Maruti Swift VDI","Maruti",410000,2012,1248,"1","Manual",68000,"2nd","Diesel",74.0,5.0,22.9,"Hatchback","Ahmedabad"
4593,"Volkswagen Vento 1.6 Highline","Volkswagen",580000,2016,1598,"1","Manual",63000,"2nd","Petrol",103.2,5.0,16.09,"Sedan","Ahmedabad"
4594,"Renault Scala Diesel RxL","Renault",390000,2014,1461,"1","Manual",57000,"2nd","Diesel",84.8,5.0,21.64,"Sedan","Ahmedabad"
4595,"Honda City i DTec V","Honda",530000,2014,1498,"1","Manual",91000,"2nd","Diesel",98.6,5.0,26.0,"Sedan","Ahmedabad"
4596,"Tata Altroz XE","Tata",615000,2021,1199,"1","Manual",23000,"2nd","Petrol",86.83,5.0,19.33,"Hatchback","Ahmedabad"
4597,"Volkswagen Vento 1.5 TDI Highline AT","Volkswagen",710000,2017,1498,"1","Automatic",78000,"2nd","Diesel",108.6,5.0,22.15,"Sedan","Ahmedabad"
4598,"Tata Tiago XZ Plus","Tata",665000,2021,1199,"1","Manual",34000,"2nd","Petrol",84.82,5.0,19.01,"Hatchback","Ahmedabad"
4599,"Hyundai Tucson 2.0 e-VGT 2WD AT GLS","Hyundai",1575000,2017,1995,"1","Automatic",80000,"2nd","Diesel",183.0,5.0,16.38,"SUV","Ahmedabad"
4600,"Maruti Vitara Brezza ZDi Plus AMT","Maruti",975000,2018,1248,"1","Automatic",41000,"2nd","Diesel",88.5,5.0,24.3,"SUV","Ahmedabad"
4601,"Honda Mobilio S i-VTEC","Honda",480000,2015,1497,"1","Manual",65000,"2nd","Petrol",117.3,7.0,17.3,"MUV","Ahmedabad"
4602,"Renault Kiger RXZ Turbo","Renault",790000,2022,999,"1","Manual",16000,"2nd","Petrol",98.63,5.0,20.5,"SUV","Ahmedabad"
4603,"Tata Nexon XZA Plus LUXS Diesel AMT","Tata",1350000,2022,1497,"1","Automatic",25000,"2nd","Diesel",113.42,5.0,24.07,"SUV","Ahmedabad"
4604,"Maruti Swift 1.2 VDI BSII","Maruti",275000,2010,1248,"1","Manual",74000,"2nd","Diesel",0.0,5.0,17.8,"Hatchback","Ahmedabad"
4605,"Hyundai Grand i10 Magna AT","Hyundai",525000,2016,1197,"1","Automatic",45000,"2nd","Petrol",82.0,5.0,18.9,"Hatchback","Ahmedabad"
4606,"Hyundai i20 Asta Option 1.2","Hyundai",590000,2015,1197,"1","Manual",41000,"2nd","Petrol",81.83,5.0,18.6,"Hatchback","Ahmedabad"
4607,"Hyundai Santro Xing GLS","Hyundai",250000,2011,1086,"1","Manual",62000,"2nd","Petrol",62.1,5.0,17.92,"Hatchback","Ahmedabad"
4608,"MG Hector Sharp Diesel MT","MG",1350000,2019,1956,"1","Manual",94000,"3rd","Diesel",167.68,5.0,17.41,"SUV","Ahmedabad"
4609,"Volkswagen Polo 1.5 TDI Highline","Volkswagen",475000,2014,1498,"1","Manual",69000,"2nd","Diesel",88.8,5.0,20.14,"Hatchback","Ahmedabad"
4610,"Honda Amaze S CVT Diesel","Honda",650000,2019,1498,"1","Automatic",74000,"3rd","Diesel",78.9,5.0,21.0,"Sedan","Ahmedabad"
4611,"BMW 5 Series 530d","BMW",1575000,2012,2993,"1","Automatic",55000,"2nd","Diesel",258.0,5.0,16.2,"Sedan","Ahmedabad"
4612,"Tata Harrier XTA Plus AT","Tata",1775000,2022,1956,"1","Automatic",54000,"2nd","Diesel",167.67,5.0,14.6,"SUV","Ahmedabad"
4613,"Maruti Swift 1.2 VDI BSII W ABS","Maruti",390000,2014,1248,"1","Manual",86000,"2nd","Diesel",0.0,5.0,17.8,"Hatchback","Ahmedabad"
4614,"Maruti Wagon R VXI","Maruti",335000,2018,998,"1","Manual",68236,"2nd","Petrol",67.1,5.0,18.9,"Hatchback","Ahmedabad"
4615,"Honda City VX MT","Honda",491000,2016,1497,"1","Manual",164834,"2nd","Petrol",117.6,5.0,17.4,"Sedan","Ahmedabad"
4616,"Honda City V MT","Honda",975000,2021,1497,"1","Manual",103000,"2nd","Petrol",117.6,5.0,17.4,"Sedan","Ahmedabad"
4617,"Hyundai Accent GLE","Hyundai",250000,2011,1495,"1","Manual",75000,"2nd","Petrol",94.0,5.0,13.2,"Sedan","Ahmedabad"
4618,"Maruti Swift ZDi","Maruti",580000,2018,1248,"1","Manual",28000,"2nd","Diesel",74.0,5.0,22.9,"Hatchback","Ahmedabad"
4619,"Honda City E","Honda",295000,2009,1497,"1","Manual",95000,"2nd","Petrol",116.3,5.0,16.8,"Sedan","Ahmedabad"
4620,"Maruti Wagon R VXI","Maruti",290000,2018,998,"1","Manual",130118,"2nd","Petrol",67.1,5.0,18.9,"Hatchback","Ahmedabad"
4621,"Toyota Fortuner 4x2 AT","Toyota",1575000,2014,2982,"1","Automatic",87000,"2nd","Diesel",168.5,7.0,12.55,"SUV","Ahmedabad"
4622,"Audi Q3 2.0 TDI","Audi",1325000,2014,1968,"1","Automatic",72000,"3rd","Diesel",174.33,5.0,15.73,"SUV","Ahmedabad"
4623,"Renault Fluence Diesel E4","Renault",350000,2013,1461,"1","Manual",73000,"2nd","Diesel",78.0,5.0,21.8,"Sedan","Ahmedabad"
4624,"Hyundai Verna CRDi 1.6 AT SX Plus","Hyundai",1050000,2018,1582,"1","Automatic",73000,"2nd","Diesel",126.2,5.0,22.0,"Sedan","Ahmedabad"
4625,"Skoda Kodiaq 2.0 TDI Style","Skoda",2480000,2018,1968,"1","Automatic",75000,"2nd","Diesel",148.0,7.0,16.25,"SUV","Ahmedabad"
4626,"Hyundai i20 1.2 Magna Executive","Hyundai",590000,2018,1197,"1","Manual",66000,"2nd","Petrol",81.83,5.0,18.6,"Hatchback","Ahmedabad"
4627,"Honda Amaze S Option i-DTEC","Honda",550000,2017,1498,"1","Manual",91000,"2nd","Diesel",98.6,5.0,25.8,"Sedan","Ahmedabad"
4628,"Audi Q3 2.0 TDI","Audi",1795000,2015,1968,"1","Automatic",65000,"2nd","Diesel",174.33,5.0,15.73,"SUV","Ahmedabad"
4629,"Toyota Fortuner 4x2 AT","Toyota",1495000,2013,2982,"1","Automatic",89000,"2nd","Diesel",168.5,7.0,12.55,"SUV","Ahmedabad"
4630,"Hyundai Creta 1.6 VTVT AT SX Plus","Hyundai",850000,2016,1591,"1","Automatic",78000,"2nd","Petrol",121.3,5.0,13.0,"SUV","Ahmedabad"
4631,"Hyundai Grand i10 Nios AMT Sportz","Hyundai",650000,2020,1197,"1","Automatic",34000,"3rd","Petrol",81.86,5.0,20.7,"Hatchback","Ahmedabad"
4632,"Renault KWID 1.0 RXT Opt","Renault",390000,2020,999,"1","Manual",11000,"2nd","Petrol",67.0,5.0,21.74,"Hatchback","Ahmedabad"
4633,"Toyota Etios Liva 1.2 G","Toyota",540000,2018,1197,"1","Manual",52000,"2nd","Petrol",78.9,5.0,17.71,"Hatchback","Ahmedabad"
4634,"Hyundai i20 Asta 1.2","Hyundai",570000,2015,1197,"1","Manual",68000,"2nd","Petrol",81.83,5.0,18.6,"Hatchback","Ahmedabad"
4635,"Tata Harrier XT","Tata",1395000,2019,1956,"1","Manual",39000,"2nd","Diesel",167.67,5.0,16.35,"SUV","Ahmedabad"
4636,"Honda City i VTEC CVT SV","Honda",665000,2016,1497,"1","Automatic",61000,"2nd","Petrol",117.3,5.0,18.0,"Sedan","Ahmedabad"
4637,"Hyundai Creta 1.6 CRDi AT S Plus","Hyundai",915000,2016,1582,"1","Automatic",62000,"2nd","Diesel",126.2,5.0,17.01,"SUV","Ahmedabad"
4638,"Volkswagen Polo 1.5 TDI Trendline","Volkswagen",585000,2019,1498,"1","Manual",66000,"2nd","Diesel",88.0,5.0,20.14,"Hatchback","Ahmedabad"
4639,"Maruti Vitara Brezza VDi","Maruti",850000,2019,1248,"1","Manual",68000,"2nd","Diesel",88.5,5.0,24.3,"SUV","Ahmedabad"
4640,"Maruti Baleno 1.2 Sigma","Maruti",550000,2016,1197,"1","Manual",14000,"2nd","Petrol",83.1,5.0,21.4,"Hatchback","Ahmedabad"
4641,"Maruti SX4 S Cross Zeta DDiS 200 SH","Maruti",895000,2018,1248,"1","Manual",61000,"2nd","Diesel",88.5,5.0,25.1,"SUV","Ahmedabad"
