"index","full_name","brand_name","resale_price","registered_year","engine_capacity(cc)","insurance","transmission_type","kms_driven","Hand","fuel_type","max_power(bhp)","seats","mileage(kmpl)","body_type","city"
7739,"Hyundai i20 Petrol Spotz","Hyundai",660000,2019,1197,"1","Manual",70000,"2nd","Petrol",81.86,5.0,18.6,"Hatchback","Hyderabad"
7740,"Maruti SX4 S Cross Zeta","Maruti",750000,2020,1462,"1","Manual",120000,"2nd","Petrol",103.25,5.0,18.55,"SUV","Hyderabad"
7741,"Jeep Compass 1.4 Limited Option","Jeep",1485000,2019,1368,"1","Automatic",30000,"2nd","Petrol",160.0,5.0,16.0,"SUV","Hyderabad"
7742,"Jeep Compass 1.4 Limited Option Black","Jeep",1485000,2019,1368,"1","Automatic",30000,"2nd","Petrol",160.0,5.0,16.0,"SUV","Hyderabad"
7743,"Maruti Ciaz ZDi Plus SHVS","Maruti",500000,2016,1248,"1","Manual",100000,"3rd","Diesel",88.5,5.0,28.09,"Sedan","Hyderabad"
7744,"Hyundai Creta 1.6 SX Automatic Diesel","Hyundai",1150000,2017,1582,"1","Automatic",91000,"2nd","Diesel",126.2,5.0,17.6,"SUV","Hyderabad"
7745,"Honda City V MT","Honda",527000,2013,1497,"1","Manual",89205,"3rd","Petrol",116.3,5.0,16.8,"Sedan","Hyderabad"
7746,"Volkswagen Vento Diesel Comfortline","Volkswagen",383000,2013,1598,"1","Manual",110807,"3rd","Diesel",103.6,5.0,20.54,"Sedan","Hyderabad"
7747,"Renault KWID 1.0 RXT Opt","Renault",423000,2020,999,"0","Manual",60894,"2nd","Petrol",67.0,5.0,21.74,"Hatchback","Hyderabad"
7748,"Renault Triber RXT EASY-R AMT BSVI","Renault",694000,2021,999,"0","Automatic",18023,"2nd","Petrol",71.01,7.0,18.2,"MUV","Hyderabad"
7749,"Renault KWID 1.0 RXT","Renault",365000,2018,999,"1","Manual",54000,"2nd","Petrol",67.0,5.0,23.01,"Hatchback","Hyderabad"
7750,"Maruti Vitara Brezza ZDi Plus AMT","Maruti",966000,2018,1248,"0","Automatic",50643,"3rd","Diesel",88.5,5.0,24.3,"SUV","Hyderabad"
7751,"Nissan Magnite XE BSVI","Nissan",597000,2021,999,"1","Manual",18745,"2nd","Petrol",71.02,5.0,18.75,"SUV","Hyderabad"
7752,"Maruti Swift VDI","Maruti",574000,2018,1248,"1","Manual",112667,"3rd","Diesel",74.0,5.0,28.4,"Hatchback","Hyderabad"
7753,"Maruti Swift Dzire VXI 1.2","Maruti",720000,2019,1197,"1","Manual",69000,"2nd","Petrol",81.8,5.0,21.21,"Sedan","Hyderabad"
7754,"Tata Aria Pleasure 4x2","Tata",300000,2011,2179,"1","Manual",100000,"3rd","Diesel",138.1,7.0,13.7,"MUV","Hyderabad"
7755,"Mahindra Scorpio S5 BSIV","Mahindra",960000,2018,2179,"1","Manual",80000,"3rd","Diesel",120.0,7.0,16.36,"SUV","Hyderabad"
7756,"Hyundai Verna 1.6 CRDi EX AT","Hyundai",455000,2012,1582,"1","Automatic",90000,"4th","Diesel",126.3,5.0,22.32,"Sedan","Hyderabad"
